32768, 0, 0.001166
32768, 1, 0.000773
32768, 2, 0.000770
32768, 3, 0.000852
32768, 4, 0.000791
32768, 5, 0.000742
65536, 0, 0.002175
65536, 1, 0.001691
65536, 2, 0.001696
65536, 3, 0.001657
65536, 4, 0.001671
65536, 5, 0.001696
131072, 0, 0.004273
131072, 1, 0.003324
131072, 2, 0.003347
131072, 3, 0.003169
131072, 4, 0.003289
131072, 5, 0.003229
262144, 0, 0.016640
262144, 1, 0.008163
262144, 2, 0.008305
262144, 3, 0.008201
262144, 4, 0.008231
262144, 5, 0.008178
524288, 0, 0.019231
524288, 1, 0.016916
524288, 2, 0.016767
524288, 3, 0.017432
524288, 4, 0.019406
524288, 5, 0.019243
1048576, 0, 0.048467
1048576, 1, 0.044294
1048576, 2, 0.042841
1048576, 3, 0.040205
1048576, 4, 0.039873
1048576, 5, 0.039669
2097152, 0, 0.096754
2097152, 1, 0.088618
2097152, 2, 0.088657
2097152, 3, 0.089183
2097152, 4, 0.089476
2097152, 5, 0.091159
4194304, 0, 0.240140
4194304, 1, 0.212286
4194304, 2, 0.212206
4194304, 3, 0.213895
4194304, 4, 0.231265
4194304, 5, 0.215335
8388608, 0, 0.487911
8388608, 1, 0.473185
8388608, 2, 0.453646
8388608, 3, 0.476565
8388608, 4, 0.451973
8388608, 5, 0.475203
16777216, 0, 1.016766
16777216, 1, 0.957616
16777216, 2, 0.946106
16777216, 3, 0.945500
16777216, 4, 0.943730
16777216, 5, 0.938220
33554432, 0, 2.163697
33554432, 1, 2.015504
33554432, 2, 2.021112
33554432, 3, 2.021073
33554432, 4, 2.017126
33554432, 5, 2.013204
67108864, 0, 4.958923
67108864, 1, 4.710529
67108864, 2, 4.642261
67108864, 3, 4.666977
67108864, 4, 4.683470
67108864, 5, 4.639784
134217728, 0, 9.544413
134217728, 1, 8.918659
134217728, 2, 9.057391
134217728, 3, 8.936559
134217728, 4, 8.954928
134217728, 5, 8.930429
