131072, 2, 32, 15, 0.010326, 0.000000
131072, 4, 32, 15, 0.014047, 0.000000
131072, 8, 32, 15, 0.005803, 0.000000
131072, 16, 32, 15, 0.015732, 0.000000
131072, 32, 32, 15, 0.015630, 0.000000
131072, 64, 32, 15, 0.027008, 0.000000
262144, 2, 32, 15, 0.018488, 0.000001
262144, 4, 32, 15, 0.021492, 0.000001
262144, 8, 32, 15, 0.022790, 0.000000
262144, 16, 32, 15, 0.009853, 0.000000
262144, 32, 32, 15, 0.016882, 0.000000
262144, 64, 32, 15, 0.026279, 0.000000
524288, 2, 32, 15, 0.039589, 0.000002
524288, 4, 32, 15, 0.027602, 0.000001
524288, 8, 32, 15, 0.027770, 0.000001
524288, 16, 32, 15, 0.025229, 0.000000
524288, 32, 32, 15, 0.019478, 0.000000
524288, 64, 32, 15, 0.035735, 0.000000
1048576, 2, 32, 15, 0.073052, 0.000005
1048576, 4, 32, 15, 0.057993, 0.000003
1048576, 8, 32, 15, 0.045115, 0.000001
1048576, 16, 32, 15, 0.033232, 0.000001
1048576, 32, 32, 15, 0.025263, 0.000000
1048576, 64, 32, 15, 0.037233, 0.000000
2097152, 2, 32, 15, 0.163396, 0.000011
2097152, 4, 32, 15, 0.136705, 0.000007
2097152, 8, 32, 15, 0.092322, 0.000003
2097152, 16, 32, 15, 0.048758, 0.000001
2097152, 32, 32, 15, 0.036261, 0.000001
2097152, 64, 32, 15, 0.044527, 0.000000
4194304, 2, 32, 15, 0.415115, 0.000024
4194304, 4, 32, 15, 0.229159, 0.000015
4194304, 8, 32, 15, 0.147961, 0.000007
4194304, 16, 32, 15, 0.099983, 0.000003
4194304, 32, 32, 15, 0.071361, 0.000001
4194304, 64, 32, 15, 0.054999, 0.000001
8388608, 2, 32, 15, 0.860697, 0.000054
8388608, 4, 32, 15, 0.694923, 0.000034
8388608, 8, 32, 15, 0.421529, 0.000017
8388608, 16, 32, 15, 0.218617, 0.000007
8388608, 32, 32, 15, 0.140280, 0.000003
8388608, 64, 32, 15, 0.096512, 0.000001
16777216, 2, 32, 15, 1.765105, 0.000117
16777216, 4, 32, 15, 1.489720, 0.000076
16777216, 8, 32, 15, 0.895425, 0.000037
16777216, 16, 32, 15, 0.516764, 0.000017
16777216, 32, 32, 15, 0.292190, 0.000008
16777216, 64, 32, 15, 0.195661, 0.000003
33554432, 2, 32, 15, 4.073482, 0.000254
33554432, 4, 32, 15, 3.034313, 0.000165
33554432, 8, 32, 15, 1.969532, 0.000082
33554432, 16, 32, 15, 1.098346, 0.000038
33554432, 32, 32, 15, 0.649320, 0.000017
33554432, 64, 32, 15, 0.376695, 0.000008
67108864, 2, 32, 15, 8.166183, 0.000548
67108864, 4, 32, 15, 6.567567, 0.000359
67108864, 8, 32, 15, 4.264601, 0.000179
67108864, 16, 32, 15, 2.215157, 0.000084
67108864, 32, 32, 15, 1.456875, 0.000038
67108864, 64, 32, 15, 0.816963, 0.000017
